company_name	url	poa	city	state	country	year_founded	full_time_employees_low	full_time_employees_high	company_type	company_category	revenue_source	business_model	social_impact	description	description_short	source_count_low	source_count_high	data_types	data_comments	example_uses	data_impacts	requested_data	data_sources
Intermedium	https://protect-au.mimecast.com/s/qqDeCMwGj8C3jV8GipJ6KR?domain=intermedium.com.au	2060	Sydney	NSW	au	2004	1	10	Private	Research & Consulting	"Consulting, Data analysis for clients, Government contract, Lead generation to other businesses, Subscriptions"	"Business to Business, Business to Government"	"Good governance, equity in procurement "	"Intermedium is an independent research and advisory firm which specialises in Australian government ICT markets at state and federal level. It provides high quality market data and expert consultation to its clients in both the ICT industry and the public sector.
In excess of 150 hours per week is allocated to collating, updating and analysing relevant data; the combined depth, accuracy and accessibility of our market data is not available anywhere else.
Intermedium provides self-service access to this data through its online subscription products, in the form of searchable databases, tailored email alerts and its Knowledge Base of research articles.
Intermedium's analysts provide bespoke research, consultation and advisory services, public briefings and periodic downloadable reports.
Understanding can be gained about jurisdiction, sector, portfolio, cluster, agency, ICT category and supplier standing within a nominated government ICT market.
Intermedium's clients are able to have more informed dialogue and make more informed decisions when participating in government ICT markets in Australia than without its service"	Intermedium is an independent research and advisory firm which specialises in Australian government ICT markets at state and federal level.	101		"Government Operations, Information Technology procurement data"	"Austender data sets significantly prone to error (duplications etc).  Worst issue is very poor contract descriptions, making further classification difficult.  No ability to rely on UNSPCC coding as agencies get this very wrong. "	"Data is sourced from AusTender published contracts, procurement notices and published approaches to market.  Also harvest data from budget papers, annual reports, and any other source found in the public domain."	"New or improved product/service', 'Job growth', 'Revenue growth'"	"Value of all contracts, (ie not just those above $10,000 [federal publishing threshold[ and $150,000 [NSW publishing threshold]
same contract data sets for every other State and Territory jurisdiction not publishing contracts data, or publishing it in impossible to download formats, publishing inconsistently etc
ICT sub-contractors to prime contractors
number of permissible contract extensions
Information technology benchmarking data
Agency operational spend on ICT staff "	"Department of Finance (Austender contracts), Department of the Treasury (Budget papers)"
KINSHIP digital	https://protect-au.mimecast.com/s/UQw4CNLJxki3o5x1iZuHH6?domain=kinshipdigital.com	2065	North Sydney	NSW	au	2009	11	50	Private	Research & Consulting	"Consulting, Data analysis for clients"	"Business to Business, Business to Government"	Consumer empowerment	"KINSHIP digital integrates social media with the enterprise, focused on business strategy and leveraging strengths and cultures of specific social platforms to enhance brand engagement and value, and to improve the value exchange.
 Our vision is that our clients should have the optimum social architecture to support their business objectives:
1. Flowing awareness, information & engagement bi-directionally;
2. Facilitating the most effective social footprint of their people;
3. Fully enabling social selling;
4. Optimally using the full value of social business intelligence and social data analytics;
5. Building brand value, brand resilience and brand equity.
"	KINSHIP digital empowers organisations to leverage social networks and technologies with their staff and customers including sophisticated social data analysis for business benefits.	11	50	"Demographics & Social, Economics, Science and Research, Social Media"	The quality is OK. Much of the quality of other data sets is poor and is low value rubbish which devalues the whole open data concept.	"We use open data to form business insights particularly in connecting open data with social media data. The linkage between social data and social network analysis and relevant open data is a nascent field where KINSHIP has particular skills and expertise. For example how to relate social mentions about a topic to the ""factual"" open data about that topic. Another simpler example is how to use open data about the involvement of government in social to predict how this might be made more effective. Our keywords are: social network analysis, social data analysis, predictive analysis, cognitive analysis."	"Revenue growth', 'Identify new opportunities'"	"More data which relates to social media usage and statistics across government and in particular an expansion of the APS Twitter Leaderboard data and concept to as many government participants as possible. This would be of immediate value to our social analytics work in understanding the drivers of engagement in government social media.
More data sets with underlying assumptions of economic and transport and other reports - so we can test the underlying assumptions against the prevailing conversations and assumptions which are being discussed and help in social media. "	Department of Finance
Landfill Gas Industires	https://protect-au.mimecast.com/s/sNATCOMK7Ycx3rXoULI_Iu?domain=landfillgasindustries.com.au	4110	Willawong	QLD	au	2009	11	50	Private	Energy	"Consulting, Government contract, Construction"	"Business to Business, Business to Government"	"Environment and climate change, Good governance"	"We provide landfill gas extraction, flaring and monitoring, design, supply and installation of systems. We have a network of the best service providers and suppliers for all materials and equipment, and support local Australian businesses where possible.
LGI has a proven track record of providing flexible, economical solutions for landfill owners and operators. We also assist clients to manage the risk, and gain the potential benefits, of carbon associated with landfill gas.LGI delivers innovative power generation solutions for landfill owners and operators. "	LGI delivers innovative landfill gas management and power generation solutions for landfill owners and operators.	1	10	"Demographics & Social, Economics, Energy, Environment, Geospatial/Mapping, Positioning/GPS"	NA	"The State Gov open data sets via Google Earth prove extremely helpful when planning and designing our site. 
While Geoscience Aus, and other departmental data sets add valuable information to site plans."	"Cost efficiency', 'New/improved research'"	"Infrastructure. Being able to access this information away from data sources like Dial Before you Dig, would allow for a central location in common format.  "	"Queensland Government (QLD Globe), New South Wales Government (NSW Globe)"
Link Digital	https://protect-au.mimecast.com/s/7zwkCP7L1NfXQAmqiEq9ro?domain=linkdigital.com.au	2612	Canberra	ACT	au	2001	1	10	Private	Managed Services	"Consulting, Government contract, Managed Services"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Good governance"	"As a company we are dedicated to the spirit of open communities and are lead by the principles of openness, participation and collaboration.
Link Digital has over 13 years experience working with enterprise clients on service contracts and complex projects. Our more recent experience on major open data portals within Australia has provided insight into platform requirements that have gone on to fuel our product roadmap for CKAN Galvanize.
Link is a Gold Member of the CKAN Association, a supporting partner of the Drupal Association and has established credentials as a Government Authorized and Advanced Consulting Partner of Amazon Web Services.

Director, Steven De Costa, is on the Board of Open Knowledge Australia and in the Steering Group for the CKAN Association. He is also the Community and Communications Team Lead for the CKAN Association and a National Organizer for GovHack.

Link’s notable open data contracts include hosting and support for data.gov.au, data.vic.gov.a, data.sa.gov.au and ongoing support for data.nsw.gov.au."	"Link Digital is active in the open data community and provides technology, services and solutions to a rapidly growing global market."	101		"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather"	Just providing one example of standardization which has helped us provide an integrated service between data portals Federally and within South Australia.	"We host and manage data.gov.au, data.vic.gov.au and data.sa.gov.au. We manage data.nsw.gov.au. Under these managed service agreements we are a trusted adviser to our clients and consult on data publishing, governance and use cases.
We have established a PaaS product via https://protect-au.mimecast.com/s/VVJTCQnM1WfP74qmTx8eEHH?domain=datashades.com for international expansion.
ref: https://protect-au.mimecast.com/s/8IVmCRONg6sWNPl8f99eoJ2?domain=datashades.com
We are currently developing a data first media platform to disrupt the existing market for data asset management systems - this is being deployed as a whole of Government video and image library for ACT Government and the Canberra community.
Ref: https://protect-au.mimecast.com/s/o_h3CVARmOHyMjK1HGzK9Ig?domain=linkdigital.com.au
We contribute to the CKAN project and help to steer the technical roadmap while also contributing to broad community development.
ref: https://protect-au.mimecast.com/s/8B_rCWLVn6iq0wYvS6K5ZBz?domain=ckan.org"	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities'"	"I would like to see open data information policy cover the GLAM sector (Galleries, Libraries, Archives and Museums). These entities manage public goods which should, by definition, be available to all Australians. Broadly mandating the opening of all repositories of cultural artifacts would enable technologists, researchers, artists and historians to create new forms of cultural narrative from which we can come to know our uniquely Australian identity.

I would like to see more effort from Australia to collaborate with other international Jurisdictions on the standards for key datasets that economically and socially describe good Government. Foreign aid agreements could then include an open data clause to ensure transparent reporting on spending activities, as per agreed international standards. 
I would like to see more program and policy development being integrated with data event capture so that iterative policy and program refinement can occur based on near real time data. 
I would like to see Government working more closely with industry to help coordinate open data opportunities that will improve those industries with regard to transparency, participation with stakeholders and collaboration within the value chain. For example, working with the Australasian Railways Association to help standardise the release transit data for public transportation systems within communities. Currently this is considered via jurisdictional specific Government bodies but would more effectively be put back to the vendors as a contract prerequisite for commercial contracts."	Finance (data.gov.au metadata and other schemas)
Omnilink	https://protect-au.mimecast.com/s/Ylg-CXLW6DiKm7N3S6kqhkZ?domain=omnilink.com.au	2122	Sydney	NSW	au	1987	11	50	Private	Geospatial/Mapping	"Consulting, Data analysis for clients, Government contract, Lead generation to other businesses, Software licensing, User fees for web or mobile access"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Educational opportunity, Good governance"	"OMNILINK is a successful property and location data management company, which has provided enterprise data management and integration services to clients for over 25 years. The company has developed specific expertise and skills in the acquisition, collation and management of data for Government, Education, Aged-Care and Business. OMNILINK has offices across Australia and New Zealand, and is now working with new customers in the United Kingdom.
OMNILINK transforms data into intelligent accessible information with location for smarter management decisions.
OMNILINK provides property and location data management solutions which can help you to:
- Integrate your datasets to provide greater intelligence
- Interact with information at a higher level than ever before
- Inform and empower your organisation through cohesive data management"	OMNILINK transforms data into intelligent accessible information with location for smarter management decisions	11	50	"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Geospatial/Mapping, Government Operations, Housing, Positioning/GPS, Public Safety, Transportation"			"Cost efficiency', 'New or improved product/service', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	-	"Australian Bureau of Statistics, Department of Human Services, Geoscience Australia, Department of Communications"
Pacific Data Systems Pty Ltd	https://protect-au.mimecast.com/s/fbK0CYW86Esl5oZPS0MPCzO?domain=pacdatasys.com.au	4113	Brisbane	QLD	au	1984	11	50	Private	Data/Technology	"Government contract, Manufacture of electronic instrumentation for industrial and scientific applications"	Business to Business	"Environment and climate change, Good governance"	"Pacific Data Systems Pty Ltd (PDS) provides reliable, cost effective and timely solutions in the areas of environmental monitoring, data acquisition, scientific and industrial instrumentation remote computing and systems integration.
In 1984, we began marketing the dataTaker range of data loggers and the Texas Instruments 'Professional' range of technical computers as data acquisition and data processing solutions for customers in the industrial, manufacturing, scientific, geophysical, engineering, mining and defence industries.
Today that same focus continues, but our range of products and services has expanded substantially, to the extent that we are now one of the major specialist providers of these products and services in the Southern Hemisphere.
With the assistance of our technology partners we work with our customers to design, develop and implement systems and solutions that take a structured and disciplined approach to fulfilling their needs.
Where possible, we seek to take advantage of newly-emerging technologies that improve their operational capabilities. This approach lowers the customer's total cost of ownership and assists them in managing and maximising their organisations' performance and capabilities."	"Innovative, self-sufficient, providing solutions using proven technology that is simple to use and understand by our end users."							-	-
Parklands Albury Wodonga Ltd	https://protect-au.mimecast.com/s/GJWkCZY146sgznRyUzPkEtg?domain=parklands-alburywodonga.org.au	3690	Wodonga	VIC	au	1997	1	10	Nonprofit	Environment & Weather	"Contributions/Donations, Government contract, Philanthropic grants"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Educational opportunity, Environment and climate change, Good governance, Public safety"	"Parklands Albury Wodonga is a community managed, community driven social enterprise.  For nearly two decades, our social enterprise has proactively created opportunities to address complex social issues through the process of tackling environmental challenges.
Communities have a right to access public land.  Our social enterprise works with neighbours, local communities and Friends Groups to negotiate and establish access to waterways, rail trails and other corridors.  
Communities have a responsibility to care for public land. Our social enterprise connects communities to nature through bringing together people from diverse backgrounds, ages, abilities and cultures, working together with businesses, neighbours and all levels of government.
"	"Community managed, community driven social enterprise that takes a people first approach to tacking complex social and environmental challenges."	11	50	"Demographics & Social, Economics, Education, Environment, Geospatial/Mapping, Health/Healthcare, Positioning/GPS, Science and Research, Public Safety, Tourism"	These are all valuable data sources.	"Mapping data (cadastres, polygons and aerial images).  This is used to work with community groups and government to plan, implement and report on environmental restoration projects.
Mapping data is also used to develop maps that are publicly accessible about all the parks in the region and the locations of various tracks and trails.
Various statistics are used for both seeking funds, justifying projects and in measuring the ""social return on investment"" of our organisation and our social impact.  This also helps us to guide where we allocate our scarce resources."	"Cost efficiency', 'New or improved product/service', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	"Aerial mapping and cadastres for land ownership.
If these were available and could be downloaded as ""shape files"" we could efficiently import these into our ArcGIS mapping software and be much more efficient in the way we work.
Data that helps us measure our social impact (the social return on investment) would also be valuable for our organisation as well as many others trying the benchmark and measure."	"New South Wales Government (NSW Land and Property Information), Victorian Government (Department of Sustainability and Environment), Australia Bureau of Statistics, National Health and Medical Research Council"
Peclet Technology Pty Ltd	https://protect-au.mimecast.com/s/W3RYC1WLjwsG8wmKULyxF7C?domain=peclet.com.au	2060	North Sydney	NSW	au	2014	1	10	Public	Data/Technology	"Consulting, Software licensing"	Business to Business	Citizen engagement and participation	"We'll help you share any data...
Static or real time, small or big, structured or unstructured
...with anyone...
your clients, your community, your business partners, your internal stakeholders  
...and bring it to life
through maps, charts, graphs and APIs
"	We provide a cloud based open data platform for organisations to store and share data with their ecosystem.	1	10	Can be any dataset.		We primarily enable organisations to open their data by providing them with the platform to do it. We also use open data through our blog (blog.opendataaustralia.com.au) where we generate visualisations of publicly available datasets. One of our data visualisation work was  recently presented in a newspaper at https://protect-au.mimecast.com/s/RQfxC2xMRkU37oGAin0Kz6Y?domain=themercury.com.au	Revenue growth'	"Development Applications data, in machine readable format, by all NSW Councils"	"City of Gold Coast, Tasmanian Government (Tasmanian Department of State Growth)"
PolyGeo	polygeo.com.au	4011	Brisbane	QLD	au	2012	1	10	Private	Geospatial/Mapping	"Consulting, Contributions/Donations, Government contract"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Educational opportunity, Environment and climate change"	"PolyGeo provides specialist ArcGIS services (training, consulting and technical support) of high quality at affordable prices to clients in Brisbane, Queensland, Australia and internationally."	"PolyGeo provides specialist ArcGIS services (training, consulting and technical support) to clients in Brisbane, Queensland, Australia and internationally."	1	10	Geospatial/Mapping	"Having a wide variety of large real-world spatial datasets available for free for geospatial/GIS students to use in their education means that students are able to get high quality, highly relevant training at more affordable prices than would otherwise be the case."	"For training courses I use QGIS (Queensland Government Information Service) geospatial datasets.  I have written, delivered and/or published instructor-led, self-paced and eLearning video courses which are sold mainly in Queensland, but some interstate and a few overseas.  These include use of the Queensland and NSW Globes."	"Cost efficiency', 'New or improved product/service', 'Revenue growth'"	"Historical Births, Deaths and Marriages data would help me expand into offering Genealogical services."	"Queensland Government, Geoscience Australia"
PSMA Australia Limited	https://protect-au.mimecast.com/s/3A_EC3QNl1SKZYMVSgOIWML?domain=psma.com.au	2603	Canberra	ACT	au	1992	11	50	Public	Data/Technology	"Database licensing, Subscriptions"	"Business to Business, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Financial access, Healthcare access, Public safety"	"PSMA Australia offers authoritative, national location data sets and related services, which underpin an ever-expanding range of business solutions and government services.
Our flagship product, G-NAF, is Australia's only authoritative, geocoded physical address file. G-NAF is complemented by data sets of roads, cadastre parcels, administrative boundaries, features of interest and more.
Used together, or separately, PSMA data sets and delivery web services provide the geographic context that enables effective decision-making and innovation based on quality location data."	Our Vision: to be Australia's most trusted and accessible source of location resources by providing our customers with core location resources that enable effortless improvement.	11	50	"Demographics & Social, Environment, Geospatial/Mapping, Housing, Transportation"		Open data forms a source of content for creating digital mapping and location related datasets and services for our clients.	"New or improved product/service', 'creates market confusion, reduces confidence, challenges funding required for quality improvements'"	"Full ABR database
Address content captured by ABS
Location and usage of government-funded health assets
Digital elevation data (DEM, DSM, DTM, point cloud and grid data)
Electricity, gas and water metre locations, telephone connections
Imagery (satellite and aerial)
Postcodes
Integrated Public Numbers Database
All registers (liquor licensing, healthcare providers, etc)"	Australian Bureau of Statistics
PublicKnowledge	https://protect-au.mimecast.com/s/dWX2C4QO8xS5rAWGUOXEu81?domain=publicknowledge.com.au	2614	Canberra	ACT	au	2013	1	10	Private	Data/Technology	ACT Government Grant	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Good governance, Efficiency and Effectiveness of government budgeting"	"Vision: To be part of an on-line collaborative democracy.
Mission: To create a clearinghouse of budget and operational information which informs policy and budget analysis."	PublicKnowledge.com.au is an online clearinghouse for Federal Government budget and operational information.	101		"Government Operations, Budget Data, Organisation Charts, Parliament & Committee structures and responsibilities"	We have complex datascraping scripts to normalise information that goes into publicknowledge. 	"Comparing the expenses of government departments:
https://protect-au.mimecast.com/s/atSGC5QP8yS9AYKOHzjCf-s?domain=tinyurl.com

Work Breakdown structure for the Programmes that Miniser Turnbull has responsibilities:
https://protect-au.mimecast.com/s/TQLJC6XQ68fmXl9xHplnGzv?domain=tinyurl.com
"	"New or improved product/service', 'New/improved research'"	"Unique identifiers for government agencies and programs.
Accurate machine readable organisation charts."	Finance (Budget)
Revelation Computing Pty Ltd	https://protect-au.mimecast.com/s/ns7CC71R63CNLj69u8Eo5UY?domain=revcomputing.com	4034	Brisbane	QLD	au	1975	1	10	Private	Data/Technology	Software licensing	Business to Consumer	Public safety	Develop mobile apps for education and consumer use.	Mobile app developer.	1	10	"Education, Transport and Local Government"		QLD SpeedZones uses data supplied by Education QLD to warn drivers when approaching a school zone. Council and Transport Dept. data is used to ascertain the dates and times that schools are in operation.	New or improved product/service'	None come to mind	Queensland Government
Rhino Linings Australasia Pty Ltd	https://protect-au.mimecast.com/s/-RC0C81Vq2Cq98MxSngTF88?domain=rhinolinings.com.au	4214	"Molendinar, Gold Coast"	QLD	au	2001	11	50	Private	Mining/Manufacturing	manufacturing	"Business to Business, Business to Consumer, Business to Government"	infrastructure protection	"Manufacturer and Distributor of spray applied Polyurethane and Polyurea chemicals and spray equipment for military, mining, waste water, potable water, building encapsulation, waterproofing and flooring applications throughout Australia, NZ, SE Asia and the Middle East."	"Specialised Coatings Manufacturer, Applicator and exporter."	11	50	"Business, Consumer, Energy, Environment, Government Operations, Housing, International/Global Development, Manufacturing, Transportation"	Takes a great deal of searching to find some of the infrastructure data.	"We use open data to assess projects, develop communication with Govt agencies(both federal, State and local)and plan strategies for future coatings opportunities."	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	-	"Defence Materiel Organisation, Department of Defence, Department of the Environment, Department of Infrastructure and Regional Development, Department for Transport, Energy and Infrastructure, Northern Territory Government (Department of Planning and Infrastructure, Public Transport)"
RIA Mobile GIS	https://protect-au.mimecast.com/s/n7IPC91W8rCq8VKPSoKDikH?domain=riamobilegis.com.au	7000	Hobart	TAS	au	2000	1	10	Private	Data/Technology	"Consulting, Government contract"	"Business to Business, Business to Government"	"Environment and climate change, Public safety"	"RIA Mobile GIS is a unique business that focuses on information systems for field workers and the business operations that support them.
Our dynamic and innovative team specialise in the technologies that enable field service management including global positioning systems (GPS) and geographic information systems (GIS).
We work mainly for businesses that plan, maintain and operate assets and infrastructure such as roads, railways and pipelines as well as natural resource management groups that manage the environment.  The organisations that we serve all have a common need for up to date and timely information about the location and status of the features they manage. At the core of our systems are established commercial off the shelf products that we combine and integrate to suit the needs of each individual business or organisation.  We write systems, orchestrate data flows, ensure information arrives where and when it is needed and provide training.
We are based in Hobart and supply systems, expertise and services throughout Australia from the Antarctic Division based in Southern Tasmania to the bauxite mine in Nhulunbuy in the Northern Territory."	RIA Mobile GIS focuses on information systems for field workers and the business operations that support them.	1	10	"Geospatial/Mapping, Positioning/GPS"	"Tasmanian Department of Primary Industries, Parks, Water and Environment, LIST on line basemaps, topographic and orthophoto, this is an excellent service."	Our business primarily provides services around geographic information systems.  Geographic data is at the core of these systems and it is typically sourced from state government mapping agencies.  These data have gradually become more open over the past years making it much more easily accessible by our clients and less of a hurdle to developing systems for them.	"Cost efficiency', 'New or improved product/service', 'Job growth'"	Cadastre (land ownership)	"Tasmanian Government (Department of Primary Industries, Parks, Water and Environment, LIST on line basemaps, topographic and orthophoto)"
RightShip Pty Ltd	https://protect-au.mimecast.com/s/rdk2C0YKgRsBj0WlfwRUhQT?domain=rightship.com	3000	Melbourne	VIC	au	2001	11	50	Private	Shipping	"Data analysis for clients, Subscriptions"	Business to Business	"Environment and climate change, Vessel safety"	"Since inception in 2001,RightShip has helped to significantly improve global maritime safety standards. 
RightShip's comprehensive online risk management platform, together with the maritime expertise of our vetting team, helps customers to manage risk by identifying and eliminating substandard ships from their supply chain.
RightShip was formed to improve dry bulk safety and quality standards, drawing on the significant ship vetting expertise of global commodity companies. Today, RightShip also provides vetting services and OCIMF SIRE inspections to the petroleum, chemical and gas sectors.
2015 will see the launch of RightShip's new risk management platform, Qi (pronounced 'key') which harnesses big data and predictive analytics to further enhance the safety and environmental sustainability of our customers' supply chain.

RightShip helps the maritime industry avoid preventable incidents by condensing information, providing rapid and consistent analysis and advice, monitoring and complying with international standards, and bringing expert support and advice within the reach of even the smallest business. 
"	RightShip provides the maritime industry with an online risk management and environmental assessment tool.							-	-
SmartCast Pty Ltd (trading as Canberra IQ)	https://protect-au.mimecast.com/s/ZNbFCgZ05Jfy85WnHNYplxs?domain=canberraiq.com.au	2600	Canberra	ACT	au	2011	1	10	Private	Media	Subscriptions	"Business to Business, Business to Consumer, Business to Government"		"Canberra IQ delivers the most comprehensive and efficient e-digest of Australian federal politics and policy.
Twice-daily email bulletins from the Canberra Press Gallery provide links to the direct output of politicians, agencies, and interest groups.
The majority of our content is not reported by other media - we provide links to the sources of their stories and to sources of many stories they don't report.

History
Starting in 2007 as Science Media, we pioneered online delivery of news from Parliament House.
We developed the Smartcast system to:
•	simultaneously send subscribers content targeted to their needs 
•	store all content for their future reference
Our searchable database is available to subscribers immediately, and publicly available after 4 weeks.
Subscribers range from individuals to organisations who forward our service to staff or stakeholders. 
They all have two needs in common:
•	to know what is happening in Canberra 
•	to know more than other media tell them 
"	"Canberra IQ delivers links to the direct output of politicians, agencies, and interest groups, provided via email bulletins and a searchable database to paying subscribers."	101		"Agriculture & Food, Business, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Science and Research, Tourism, Transportation, Weather"	"I cited one source to fill the space in the survey. As we source our content from all federal politicians, agencies, interest groups and other players in Canberra politics and policy, our catchment consists of hundreds of sites and subsites. "	"Data provided free online by politicians, agencies and others is the source of our product content. A sample from today's Early Edition (the links may not work from this form):
GENERAL
The PM discussed several issues in a Horsham doorstop interview. [Full Text] 
Treasurer Joe Hockey was interviewed on Lateline. [Full Text] 
Treasurer Hockey was interviewed on ABC Sydney. [Full Text] 
Bill Shorten discussed several issues in a doorstop interview. [Full Text] 
Mr Shorten has discussed higher education policy and other issues in a speech at Monash U. [Full Text] 
Shadow Minister Jason Clare has said Minister Malcolm Turnbull showed his auditions to become PM are not limited to the ABC's Q&A. [Full Text] 
The AEC invited suggestions on redistribution of federal electoral boundaries in WA. [Full Text] 
EDUCATION / RESEARCH
Minister Christopher Pyne addressed the 2015 Universities Australia conference. [Full Text] 
Shadow Minister Kim Carr addressed the Universities Australia conference. [Full Text] 
Vice-chancellors Michael Spence and Glyn Davis and the president of the National Union of Students were interviewed on 7.30. [Full Text] 
"	New or improved product/service'	Plenty already. Better FoI delivery would be appreciated.	Agriculture
Solais Geoinformatics Pty Ltd	solais.com.au	6000	Perth	WA	au	2015	1	10	Private	Geospatial/Mapping	"Consulting, Data analysis for clients, SAAS/DAAS"	"Business to Business, Business to Government"	"Environment and climate change, Financial access, Food access and supply, Good governance"	"To develop information delivery platforms that enhance business, social and environmental outcomes."	"We develop web based mapping applications incorporating data delivery, dashboard reporting and decision tools."	11	50	"Agriculture & Food, Demographics & Social, Energy, Environment, Geospatial/Mapping, Science and Research"	"Landgate SLIP = 1
ABS = 3 - could be delived as a WCS and save lots of effort
ABARE = 3 
ASRIS = 2 (csiro - it ranks higher than 1 due to the WCS provision, which is excellent, but the WMA was terrible)
Geoscience Australia = 1

"	"* As background layers in web based mapping applications
* As source layers over which we have provided optimised search as part of our suite of web mapping products.
* As part of data analysis when required"	"Cost efficiency', 'Identify new opportunities', 'timeliness'"	"nature reserve systems (currently subscription)
access to all slip portal layers through a WCS so there are no size restrictions to access data sets (WA)
location of mental health beds both current and future (for a client - state data)
heddle and mattiske vegetation layer (WA)
SRTM digital elevation models (Geoscience Australia)
Any processed remotely sensed imagery (Geoscience Australia), especially as it is very easy to download and process for one self these days (but can take time with limited resources)."	"Australian Bureau of Statistics (data pack), Agriculture (ABARES), CSIRO, Geoscience Australia"
Southern New England Landcare	https://protect-au.mimecast.com/s/RTX5CjZ12Rfmg1JkHW4JFFd?domain=snelcc.org.au	2350	Armidale	NSW	au	1993	1	10	Nonprofit	Environment & Weather	"Contributions/Donations, Membership fees, Philanthropic grants, Government grants"	Organisation to community	"Citizen engagement and participation, Educational opportunity, Environment and climate change, Food access and supply"	"Our mission is to lead, connect and enable our communities to meet their sustainable living goals."	"Our mission is to lead, connect and enable our communities to meet their sustainable living goals."	11	50	"Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Positioning/GPS, Weather"	Very useful.	Geographic information from public databases to support on ground works.	"New or improved product/service', 'New/improved research'"	Geographic information including cadastra data	"Agriculture (ABARE, environment, Mapping, OEH threatened species)"
Spatial Vision	https://protect-au.mimecast.com/s/sIqxCk815RCBg30Zf2xpOoc?domain=spatialvision.com.au	3000	Melbourne	VIC	au	1999	11	50	Private	Geospatial/Mapping	"Consulting, Data analysis for clients, Government contract"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Environment and climate change, Good governance, Healthcare access, Housing access, Public safety"	"Spatial Vision is a leading specialist in information and spatial technologies. Integrating geographic and organisational data, we provide business systems, advanced spatial analyses, reliable planning systems and practical mapping applications to address some of the country's most pressing environmental, economic and resource issues.

Combining the latest tools and techniques with years of innovation and experience, the company has implemented some of Australia’s landmark spatial technology projects.

Our award-winning solutions assist our clients to better manage their natural assets, respond to emergencies, understand markets, target customers and deliver high-quality products and services."	Spatial Vision is a leading specialist in information and spatial technologies.							-	-
State Library of Queensland 	https://protect-au.mimecast.com/s/0YsAClx1OYUELqKDfGmwjPk?domain=slq.qld.gov.au	4101	Brisbane 	QLD	au	1896	201	500	Government 	Library 	Government 	Business to Consumer	"Citizen engagement and participation, Consumer empowerment, Educational opportunity"	"State Library of Queensland plays a lead role in serving all Queenslanders, through state-wide library services and partnerships with over 340 public libraries, including 23 Indigenous Knowledge Centres (IKCs).
Founded in 1896, we have become a bold and adventurous 21st century library driven by a commitment to access for all.
SLQ belongs to the people of Queensland. It is an inclusive and welcoming place for all, a trusted source for information, and a place for intellectual freedom, a cornerstone of democracy and custodian of Queensland's memory.
SLQ is a 'knowledge bank' and vital community resource, as much a physical as well as a virtual place for sharing, learning, collaborating, and creation. As a community hub for democracy in action, here everyone is encouraged to have a voice.
State Library has a vital role in preserving and sharing Queensland's history, collecting contemporary and retrospective content that chronicles events, people, places and ideas that continue to shape Queensland.
"	"SLQ is an inclusive and welcoming place for all, a trusted source for information, place for intellectual freedom  and custodian of Queensland's memory."							-	-
